"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PHC2",0.102881483753003,4.51465185741226,0.756127963768585,0.452901134256419,0.828511338586556,-5.86176578552768
"CDK5RAP3",-0.0907214728522102,4.98630469844819,-0.756104139426011,0.452915296212976,0.828511338586556,-5.94197580756784
"CLDND2",-0.196277303623912,1.92591779018326,-0.755763266372177,0.453117950292694,0.828511338586556,-5.39513128860932
"TBCEL",0.223971396826704,1.62560331272086,0.755761634452249,0.453118920619857,0.828511338586556,-5.34439327502803
"USP28",0.122325574392414,5.13835093634857,0.75574675533014,0.453127767688206,0.828511338586556,-5.96837386715469
"MAP2K2",-0.0663084176481473,6.81153555770004,-0.755692082694546,0.453160276686641,0.828511338586556,-6.1954296354755
"ADO",-0.161033794580802,2.67171512457009,-0.755617014344565,0.453204915424712,0.828511338586556,-5.51652147950845
"BBS1",0.238370663049005,1.01278533273394,0.755596229364256,0.453217275482727,0.828511338586556,-5.2735713798962
"RBM45",0.163700490024297,2.16298158983861,0.755582903594735,0.453225199927274,0.828511338586556,-5.43288247815764
"JRKL",-0.217924190083874,1.98349967613372,-0.755516485128127,0.453264698241984,0.828511338586556,-5.4106364608224
"NUDT16L1",-0.0791937946462283,5.6504499995218,-0.755503920086115,0.453272170755812,0.828511338586556,-6.04675870462077
"SREBF2-AS1",0.151583179303905,4.11436064874435,0.755479204444085,0.45328686952071,0.828511338586556,-5.78722629682712
"WASL",0.12337839467269,4.38201213764727,0.755302439015512,0.453392002650181,0.828511338586556,-5.84006464740441
"CUBN",0.238812828292477,0.908988233295719,0.755253189786465,0.453421296676294,0.828511338586556,-5.2616229113878
"AL359922.2",-0.275982797256375,-0.410471598316933,-0.75522338246686,0.453439026957394,0.828511338586556,-5.15731576675801
"TIMM21",0.142459164898766,2.93307996728742,0.755220030355712,0.453441020918068,0.828511338586556,-5.56844482979207
"GABPA",0.0869928002300613,4.40399589030867,0.755152996706556,0.453480896099749,0.828511338586556,-5.84134713852394
"SPAG8",-0.216167284624763,0.239129584091996,-0.755116279120677,0.453502738536212,0.828511338586556,-5.19599558769893
"OR11G2",-0.350868816055422,0.263052643777528,-0.755068901649857,0.453530923191898,0.828511338586556,-5.19756125049485
"LYRM4",-0.12078906007426,3.8610572982471,-0.75486601892875,0.453651628753206,0.828627770967647,-5.74215195811249
"MYH10",0.237894336939257,1.04626767123689,0.754761128543307,0.453714040847231,0.828637710211324,-5.27859732287795
"ZSCAN26",-0.136596382259691,2.7009928453722,-0.754643510528328,0.453784032085555,0.828661487342674,-5.53031419753252
"IDI1",0.148939493136322,6.52221434675056,0.754302575204444,0.453986948681806,0.828927964923032,-6.16419291102863
"MUC20",0.304400455212601,0.0799117365301765,0.754170003288418,0.454065866539268,0.82896799658763,-5.18645832633103
"UGP2",-0.0719758933601461,5.83917464601455,-0.754053412222163,0.454135277836068,0.8289906646744,-6.07411397905736
"DUSP3",0.222471873798659,1.1197398566085,0.753680521623663,0.454357315730502,0.829088433694788,-5.28370604587783
"CXCL8",0.277672158657625,0.603759403622175,0.753562318908435,0.454427712729139,0.829088433694788,-5.23269148749083
"NOP2",0.115139820297506,3.56605601023787,0.753281908604318,0.454594739623077,0.829088433694788,-5.68923401428175
"ZNF438",-0.192040376995106,1.43476386278829,-0.753153718244686,0.454671108284599,0.829088433694788,-5.32961003415681
"PRPS1",0.105498290988162,5.00136596411274,0.753070233395713,0.454720847894637,0.829088433694788,-5.94660105508724
"Z97192.1",0.26228515074269,1.26115822400376,0.753024751420548,0.454747947020761,0.829088433694788,-5.30362071210457
"CCDC124",0.0903001507354749,5.56719938894993,0.752966822642269,0.454782463571039,0.829088433694788,-6.03530082118657
"NCSTN",-0.120386742814373,3.54819864979098,-0.752954941804696,0.45478954289162,0.829088433694788,-5.68532993986993
"TCOF1",-0.0953194164499281,4.82293672706888,-0.752916913621007,0.4548122028094,0.829088433694788,-5.91840486218989
"BRAF",0.10646074721776,5.80090788679973,0.752602599365782,0.454999518814884,0.829088433694788,-6.07215621251914
"FAM53C",0.144224161344253,4.29925254494092,0.752582801367293,0.455011318954462,0.829088433694788,-5.8242542996621
"FANCE",-0.271898009797121,0.919754668492087,-0.752484564213549,0.455069873561776,0.829088433694788,-5.26395346776913
"FNTB",-0.247747042040541,0.736447427223311,-0.752374843372377,0.455135278220518,0.829088433694788,-5.23946464629411
"AL590822.2",-0.219967673070613,0.389557446650801,-0.752312109802653,0.455172676184481,0.829088433694788,-5.21364459643198
"TRBV28",0.289610466000399,4.71264365077032,0.752285477570569,0.455188553250168,0.829088433694788,-5.90286737318777
"TENT4B",0.124418198179908,5.12731307896537,0.752237155444127,0.455217361777297,0.829088433694788,-5.9690791925867
"SCYL2",-0.100441060678487,3.82748276045842,-0.752219428072288,0.455227930688472,0.829088433694788,-5.7393138287317
"EI24",-0.0933958630826968,4.25202667926141,-0.75201626043145,0.455349067684862,0.829088433694788,-5.81875344257152
"PTPN23",-0.138570462711714,2.63658238130085,-0.751859496133672,0.455442549831401,0.829088433694788,-5.51507001179375
"MRPL43",-0.0752897259691419,5.94318597541185,-0.751763035407843,0.455500077095122,0.829088433694788,-6.09015008859951
"MCRS1",-0.108618694344557,4.03560849798123,-0.751752366538533,0.455506440055471,0.829088433694788,-5.77778522635395
"TRAV8-6",-0.297199561132725,-0.31569308018054,-0.7516680048704,0.455556755535241,0.829088433694788,-5.16728221502505
"NBPF14",0.227378140798198,1.97079923123805,0.751638616564106,0.455574284236275,0.829088433694788,-5.39926468220344
"ZNF846",-0.168007603633839,1.98174461280499,-0.751607628546699,0.45559276751027,0.829088433694788,-5.40450837334475
"AC025171.4",-0.258953466875856,0.0362854409064338,-0.751533495756882,0.455636986900486,0.829088433694788,-5.18737213040128
"PIGZ",0.273674618694393,0.217177664198892,0.751372272058861,0.455733163629237,0.829088433694788,-5.20345364721724
"PYROXD1",0.0836362847609096,5.21172347714592,0.751081216293284,0.455906820397967,0.829088433694788,-5.9826175259588
"SEC31B",0.134387491807467,3.11114750986882,0.751012870135525,0.45594760429387,0.829088433694788,-5.60209947064193
"AC135050.6",-0.149373120470552,2.64327561590423,-0.751007400423428,0.455950868301821,0.829088433694788,-5.51552159078352
